model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9444444444444444,0.9473684210526315,0.9473684210526315,0.9473684210526315
Random Forest,0.8611111111111112,0.85,0.8947368421052632,0.8717948717948718
KNN,0.75,0.75,0.7894736842105263,0.7692307692307693
Gradient Boosting,0.8333333333333334,0.8421052631578947,0.8421052631578947,0.8421052631578947
Stacking,0.9166666666666666,0.9,0.9473684210526315,0.9230769230769231
